timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-12-17T00:00:00.000Z";"2024-12-17T23:59:59.999Z";"2024-12-17T13:55:00.000Z";"2024-12-17T23:13:00.000Z";"2781";0.4019345929;0.4098993369;0.3915962525;0.394337451;3618256202.83;58064433818.84;"2024-12-17T23:59:59.999Z"
"2024-12-16T00:00:00.000Z";"2024-12-16T23:59:59.999Z";"2024-12-16T00:52:00.000Z";"2024-12-16T11:59:00.000Z";"2781";0.4062948711;0.4135943924;0.3927359372;0.4019340807;3891164218.82;59177017571.6;"2024-12-16T23:59:59.999Z"
"2024-12-15T00:00:00.000Z";"2024-12-15T23:59:59.999Z";"2024-12-15T23:28:00.000Z";"2024-12-15T07:46:00.000Z";"2781";0.3979720394;0.4098347389;0.3929085113;0.4062723233;2654366167.41;59813372428.84;"2024-12-15T23:59:59.999Z"
"2024-12-14T00:00:00.000Z";"2024-12-14T23:59:59.999Z";"2024-12-14T01:29:00.000Z";"2024-12-14T18:57:00.000Z";"2781";0.4090808523;0.4127538021;0.3881394933;0.3979755787;3165759137.24;58582672703.29;"2024-12-14T23:59:59.999Z"
"2024-12-13T00:00:00.000Z";"2024-12-13T23:59:59.999Z";"2024-12-13T15:02:00.000Z";"2024-12-13T01:26:00.000Z";"2781";0.406548219;0.4116874319;0.3998616764;0.4090808523;3815608761.17;60212330995.03;"2024-12-13T23:59:59.999Z"
"2024-12-12T00:00:00.000Z";"2024-12-12T23:59:59.999Z";"2024-12-12T05:41:00.000Z";"2024-12-12T19:59:00.000Z";"2781";0.4144945245;0.4233588992;0.4017441041;0.406548146;5601004924.61;59833964400.82;"2024-12-12T23:59:59.999Z"
"2024-12-11T00:00:00.000Z";"2024-12-11T23:59:59.999Z";"2024-12-11T22:11:00.000Z";"2024-12-11T02:05:00.000Z";"2781";0.3945122944;0.4187884424;0.3766333436;0.4144919301;6670843571.07;60997758821.44;"2024-12-11T23:59:59.999Z"
"2024-12-10T00:00:00.000Z";"2024-12-10T23:59:59.999Z";"2024-12-10T00:39:00.000Z";"2024-12-10T18:13:00.000Z";"2781";0.4147222376;0.4224071893;0.3668396462;0.3945198228;11257345382.78;58051776511.6;"2024-12-10T23:59:59.999Z"
"2024-12-09T00:00:00.000Z";"2024-12-09T23:59:59.999Z";"2024-12-09T00:00:00.000Z";"2024-12-09T21:08:00.000Z";"2781";0.4672990859;0.4672990859;0.3847211902;0.414719122;11830538829.95;61019955868.25;"2024-12-09T23:59:59.999Z"
"2024-12-08T00:00:00.000Z";"2024-12-08T23:59:59.999Z";"2024-12-08T04:28:00.000Z";"2024-12-08T09:57:00.000Z";"2781";0.4538910655;0.4835103667;0.4482403269;0.4672969502;8171222257.49;68749479090.13;"2024-12-08T23:59:59.999Z"
"2024-12-07T00:00:00.000Z";"2024-12-07T23:59:59.999Z";"2024-12-07T18:25:00.000Z";"2024-12-07T05:49:00.000Z";"2781";0.4357122635;0.4660390706;0.432128465;0.4538874245;8127914572.15;66770660266.45;"2024-12-07T23:59:59.999Z"
"2024-12-06T00:00:00.000Z";"2024-12-06T23:59:59.999Z";"2024-12-06T20:23:00.000Z";"2024-12-06T13:30:00.000Z";"2781";0.4278938558;0.4417822833;0.4212600814;0.4357091272;6668459792.7;64090448966.85;"2024-12-06T23:59:59.999Z"
"2024-12-05T00:00:00.000Z";"2024-12-05T23:59:59.999Z";"2024-12-05T05:04:00.000Z";"2024-12-05T01:28:00.000Z";"2781";0.4319026871;0.4634041673;0.4090105778;0.4305856548;15284058218.87;63349844443.4;"2024-12-05T23:59:59.999Z"
"2024-12-04T00:00:00.000Z";"2024-12-04T23:59:59.999Z";"2024-12-04T21:23:00.000Z";"2024-12-04T16:53:00.000Z";"2781";0.4078513034;0.4356257393;0.4019590132;0.4319573913;8065078708.85;63518354508.61;"2024-12-04T23:59:59.999Z"
"2024-12-03T00:00:00.000Z";"2024-12-03T23:59:59.999Z";"2024-12-03T00:15:00.000Z";"2024-12-03T14:37:00.000Z";"2781";0.424672479;0.4280486383;0.3914723588;0.4078820733;9362620938.94;59975735856.77;"2024-12-03T23:59:59.999Z"
"2024-12-02T00:00:00.000Z";"2024-12-02T23:59:59.999Z";"2024-12-02T02:16:00.000Z";"2024-12-02T11:13:00.000Z";"2781";0.4400494667;0.4602452549;0.4051118217;0.4246700076;13072433718.37;62443589223.63;"2024-12-02T23:59:59.999Z"
"2024-12-01T00:00:00.000Z";"2024-12-01T23:59:59.999Z";"2024-12-01T22:01:00.000Z";"2024-12-01T02:43:00.000Z";"2781";0.4219684361;0.449280557;0.4176935992;0.4400230105;8333397828.63;64698618882.1;"2024-12-01T23:59:59.999Z"
"2024-11-30T00:00:00.000Z";"2024-11-30T23:59:59.999Z";"2024-11-30T08:49:00.000Z";"2024-11-30T02:49:00.000Z";"2781";0.4258385696;0.4347012027;0.4153613792;0.4219710342;5601447294.04;62034515038.6;"2024-11-30T23:59:59.999Z"
"2024-11-29T00:00:00.000Z";"2024-11-29T23:59:59.999Z";"2024-11-29T20:40:00.000Z";"2024-11-29T00:56:00.000Z";"2781";0.4020192199;0.4370858791;0.3999919309;0.425839109;6768739921.79;62597723122.73;"2024-11-29T23:59:59.999Z"
"2024-11-28T00:00:00.000Z";"2024-11-28T23:59:59.999Z";"2024-11-28T02:34:00.000Z";"2024-11-28T15:57:00.000Z";"2781";0.4015154408;0.4273046052;0.3922588073;0.4020183317;5955119387.95;59090817700.93;"2024-11-28T23:59:59.999Z"
"2024-11-27T00:00:00.000Z";"2024-11-27T23:59:59.999Z";"2024-11-27T20:31:00.000Z";"2024-11-27T01:13:00.000Z";"2781";0.3876145439;0.4080524453;0.3816914554;0.4015253277;6388400975.64;59011252888.78;"2024-11-27T23:59:59.999Z"
"2024-11-26T00:00:00.000Z";"2024-11-26T23:59:59.999Z";"2024-11-26T06:30:00.000Z";"2024-11-26T11:43:00.000Z";"2781";0.3933106155;0.4083722718;0.3673193219;0.3876183651;8847260920.46;56962955960.41;"2024-11-26T23:59:59.999Z"
"2024-11-25T00:00:00.000Z";"2024-11-25T23:59:59.999Z";"2024-11-25T09:43:00.000Z";"2024-11-25T22:40:00.000Z";"2781";0.4298949602;0.4370420296;0.3815148469;0.3933401432;9773285005.67;57799004054.45;"2024-11-25T23:59:59.999Z"
"2024-11-24T00:00:00.000Z";"2024-11-24T23:59:59.999Z";"2024-11-24T02:10:00.000Z";"2024-11-24T12:50:00.000Z";"2781";0.4300122548;0.4524279156;0.4009668036;0.4298820499;12213185936.98;63146170897.71;"2024-11-24T23:59:59.999Z"
"2024-11-23T00:00:00.000Z";"2024-11-23T23:59:59.999Z";"2024-11-23T11:13:00.000Z";"2024-11-23T01:34:00.000Z";"2781";0.4129236437;0.4774602436;0.4055660643;0.4300118181;20873625274.87;63176121937.54;"2024-11-23T23:59:59.999Z"
"2024-11-22T00:00:00.000Z";"2024-11-22T23:59:59.999Z";"2024-11-22T22:40:00.000Z";"2024-11-22T01:07:00.000Z";"2781";0.3876255974;0.4191917287;0.3815199392;0.41292407;13591947494.77;60659679248.27;"2024-11-22T23:59:59.999Z"
"2024-11-21T00:00:00.000Z";"2024-11-21T23:59:59.999Z";"2024-11-21T14:22:00.000Z";"2024-11-21T02:47:00.000Z";"2781";0.3774968296;0.3949443883;0.3700118988;0.3876171086;8052510566.27;56937373887.16;"2024-11-21T23:59:59.999Z"
"2024-11-20T00:00:00.000Z";"2024-11-20T23:59:59.999Z";"2024-11-20T14:13:00.000Z";"2024-11-20T19:26:00.000Z";"2781";0.3913403262;0.3955987959;0.3665688243;0.3774965598;8029529785.66;55445049324.31;"2024-11-20T23:59:59.999Z"
"2024-11-19T00:00:00.000Z";"2024-11-19T23:59:59.999Z";"2024-11-19T18:38:00.000Z";"2024-11-19T00:34:00.000Z";"2781";0.3717397429;0.4183338697;0.3680197736;0.3913561219;12889618536.82;57473060707.43;"2024-11-19T23:59:59.999Z"
"2024-11-18T00:00:00.000Z";"2024-11-18T23:59:59.999Z";"2024-11-18T20:37:00.000Z";"2024-11-18T13:13:00.000Z";"2781";0.3665696295;0.3799055962;0.3592349751;0.3717413224;8396330142.8;54589039218.88;"2024-11-18T23:59:59.999Z"
"2024-11-17T00:00:00.000Z";"2024-11-17T23:59:59.999Z";"2024-11-17T09:12:00.000Z";"2024-11-17T02:17:00.000Z";"2781";0.3637501004;0.3735582585;0.3416991106;0.3665603342;7832273719.34;53825173247.05;"2024-11-17T23:59:59.999Z"
"2024-11-16T00:00:00.000Z";"2024-11-16T23:59:59.999Z";"2024-11-16T06:35:00.000Z";"2024-11-16T23:22:00.000Z";"2781";0.3791896032;0.3898785146;0.3613029805;0.3637475422;7524229950.29;53406199457.38;"2024-11-16T23:59:59.999Z"
"2024-11-15T00:00:00.000Z";"2024-11-15T23:59:59.999Z";"2024-11-15T22:41:00.000Z";"2024-11-15T15:37:00.000Z";"2781";0.3617133222;0.3842459633;0.3544687894;0.3791894822;11623194181.66;55668933160.81;"2024-11-15T23:59:59.999Z"
"2024-11-14T00:00:00.000Z";"2024-11-14T23:59:59.999Z";"2024-11-14T14:10:00.000Z";"2024-11-14T23:42:00.000Z";"2781";0.3995226582;0.4147042614;0.3558078987;0.3616455575;15564516841.47;53100324484.74;"2024-11-14T23:59:59.999Z"
"2024-11-13T00:00:00.000Z";"2024-11-13T23:59:59.999Z";"2024-11-13T14:56:00.000Z";"2024-11-13T04:53:00.000Z";"2781";0.3822178679;0.43162369;0.3566089684;0.3995226582;28286313456.14;58641958300.6;"2024-11-13T23:59:59.999Z"
"2024-11-12T00:00:00.000Z";"2024-11-12T23:59:59.999Z";"2024-11-12T09:04:00.000Z";"2024-11-12T00:22:00.000Z";"2781";0.3495211888;0.4358632432;0.3334322;0.3822214593;39936467957.12;56096685598.14;"2024-11-12T23:59:59.999Z"
"2024-11-11T00:00:00.000Z";"2024-11-11T23:59:59.999Z";"2024-11-11T23:59:00.000Z";"2024-11-11T05:57:00.000Z";"2781";0.2790946851;0.3496016451;0.2761415994;0.3495211888;19590715363.33;51293134956.66;"2024-11-11T23:59:59.999Z"
"2024-11-10T00:00:00.000Z";"2024-11-10T23:59:59.999Z";"2024-11-10T18:53:00.000Z";"2024-11-10T00:37:00.000Z";"2781";0.2187938605;0.2966144154;0.2173023135;0.2790946851;14901681716.56;40954692258.28;"2024-11-10T23:59:59.999Z"
"2024-11-09T00:00:00.000Z";"2024-11-09T23:59:59.999Z";"2024-11-09T23:53:00.000Z";"2024-11-09T02:25:00.000Z";"2781";0.2021309466;0.2197365418;0.1978252937;0.2187605087;4290391406.77;32097744227.59;"2024-11-09T23:59:59.999Z"
"2024-11-08T00:00:00.000Z";"2024-11-08T23:59:59.999Z";"2024-11-08T22:35:00.000Z";"2024-11-08T17:32:00.000Z";"2781";0.1931588771;0.2065641514;0.1912890147;0.2021322257;4089504351.9;29655026626.44;"2024-11-08T23:59:59.999Z"
"2024-11-07T00:00:00.000Z";"2024-11-07T23:59:59.999Z";"2024-11-07T01:38:00.000Z";"2024-11-07T14:07:00.000Z";"2781";0.1966579038;0.2034778476;0.1862553002;0.1931588771;4338342915.32;28340541783.2;"2024-11-07T23:59:59.999Z"
"2024-11-06T00:00:00.000Z";"2024-11-06T23:59:59.999Z";"2024-11-06T03:46:00.000Z";"2024-11-06T00:11:00.000Z";"2781";0.1701882856;0.2133364078;0.1696943461;0.1966579038;12194137333.13;28846871041.12;"2024-11-06T23:59:59.999Z"
"2024-11-05T00:00:00.000Z";"2024-11-05T23:59:59.999Z";"2024-11-05T14:53:00.000Z";"2024-11-05T00:02:00.000Z";"2781";0.1583454259;0.1788397396;0.1581792248;0.1701797643;4095671193.98;24961627563.21;"2024-11-05T23:59:59.999Z"
"2024-11-04T00:00:00.000Z";"2024-11-04T23:59:59.999Z";"2024-11-04T16:16:00.000Z";"2024-11-04T00:44:00.000Z";"2781";0.1514540487;0.1598938617;0.1485810499;0.1583458607;2541759238.23;23224612750.82;"2024-11-04T23:59:59.999Z"
"2024-11-03T00:00:00.000Z";"2024-11-03T23:59:59.999Z";"2024-11-03T00:04:00.000Z";"2024-11-03T15:47:00.000Z";"2781";0.1593156109;0.1596268172;0.1428225283;0.1514539467;2214868457.56;22209728524.57;"2024-11-03T23:59:59.999Z"
"2024-11-02T00:00:00.000Z";"2024-11-02T23:59:59.999Z";"2024-11-02T02:30:00.000Z";"2024-11-02T15:13:00.000Z";"2781";0.1591894054;0.1632980605;0.1560348035;0.1593156109;1342216649.16;23360406035.08;"2024-11-02T23:59:59.999Z"
"2024-11-01T00:00:00.000Z";"2024-11-01T23:59:59.999Z";"2024-11-01T14:14:00.000Z";"2024-11-01T07:17:00.000Z";"2781";0.1613720051;0.1682423249;0.1544202869;0.1591848607;2406203136.21;23339038998.57;"2024-11-01T23:59:59.999Z"
"2024-10-31T00:00:00.000Z";"2024-10-31T23:59:59.999Z";"2024-10-31T10:51:00.000Z";"2024-10-31T21:04:00.000Z";"2781";0.168146155;0.1729968579;0.1565456783;0.1613718333;2213630994.68;23657511070.52;"2024-10-31T23:59:59.999Z"
"2024-10-30T00:00:00.000Z";"2024-10-30T23:59:59.999Z";"2024-10-30T06:11:00.000Z";"2024-10-30T16:03:00.000Z";"2781";0.1758394816;0.1775350977;0.165250387;0.168146155;2319205432.76;24648305482.37;"2024-10-30T23:59:59.999Z"
"2024-10-29T00:00:00.000Z";"2024-10-29T23:59:59.999Z";"2024-10-29T16:49:00.000Z";"2024-10-29T00:10:00.000Z";"2781";0.1611517932;0.1792265197;0.1608260915;0.1758387441;3785378329.64;25773524594.18;"2024-10-29T23:59:59.999Z"
"2024-10-28T00:00:00.000Z";"2024-10-28T23:59:59.999Z";"2024-10-28T23:43:00.000Z";"2024-10-28T01:30:00.000Z";"2781";0.1443111558;0.1620104399;0.1411762691;0.1611502023;3078140198.56;23618356780.52;"2024-10-28T23:59:59.999Z"
"2024-10-27T00:00:00.000Z";"2024-10-27T23:59:59.999Z";"2024-10-27T23:21:00.000Z";"2024-10-27T01:25:00.000Z";"2781";0.1373570997;0.1458568217;0.1360573378;0.144311944;1129296560.02;21148427033.48;"2024-10-27T23:59:59.999Z"
"2024-10-26T00:00:00.000Z";"2024-10-26T23:59:59.999Z";"2024-10-26T17:37:00.000Z";"2024-10-26T00:07:00.000Z";"2781";0.1310130451;0.1378312481;0.1308393151;0.1373570997;947921668.95;20127138178.27;"2024-10-26T23:59:59.999Z"
"2024-10-25T00:00:00.000Z";"2024-10-25T23:59:59.999Z";"2024-10-25T00:23:00.000Z";"2024-10-25T23:25:00.000Z";"2781";0.1419880672;0.142399507;0.128547758;0.1310130451;1458877963.81;19196017794.98;"2024-10-25T23:59:59.999Z"
"2024-10-24T00:00:00.000Z";"2024-10-24T23:59:59.999Z";"2024-10-24T21:25:00.000Z";"2024-10-24T09:07:00.000Z";"2781";0.1399006369;0.1435020279;0.1364499753;0.1419866231;1349772911.8;20801954170.05;"2024-10-24T23:59:59.999Z"
"2024-10-23T00:00:00.000Z";"2024-10-23T23:59:59.999Z";"2024-10-23T06:43:00.000Z";"2024-10-23T18:08:00.000Z";"2781";0.13951063;0.1406042079;0.133279049;0.1384974581;1430747358.97;20288781597.99;"2024-10-23T23:59:59.999Z"
"2024-10-22T00:00:00.000Z";"2024-10-22T23:59:59.999Z";"2024-10-22T02:13:00.000Z";"2024-10-22T17:03:00.000Z";"2781";0.1436901436;0.1478829475;0.1368475193;0.1395078914;1647303197.64;20435382643.74;"2024-10-22T23:59:59.999Z"
"2024-10-21T00:00:00.000Z";"2024-10-21T23:59:59.999Z";"2024-10-21T06:25:00.000Z";"2024-10-21T16:29:00.000Z";"2781";0.1420838818;0.1495332498;0.1384328205;0.1436901436;2075196142.2;21045626660.77;"2024-10-21T23:59:59.999Z"
"2024-10-20T00:00:00.000Z";"2024-10-20T23:59:59.999Z";"2024-10-20T00:12:00.000Z";"2024-10-20T13:16:00.000Z";"2781";0.1445261205;0.1452458058;0.137577114;0.1420825397;1456913936.72;20808416988.17;"2024-10-20T23:59:59.999Z"
"2024-10-19T00:00:00.000Z";"2024-10-19T23:59:59.999Z";"2024-10-19T23:28:00.000Z";"2024-10-19T00:01:00.000Z";"2781";0.1372125326;0.1465441587;0.1371899858;0.1445269059;1898579280.29;21164101056.59;"2024-10-19T23:59:59.999Z"
"2024-10-18T00:00:00.000Z";"2024-10-18T23:59:59.999Z";"2024-10-18T17:09:00.000Z";"2024-10-18T00:18:00.000Z";"2781";0.1296597782;0.1405272967;0.1296473528;0.1372125326;2216997634.62;20091222471.18;"2024-10-18T23:59:59.999Z"
"2024-10-17T00:00:00.000Z";"2024-10-17T23:59:59.999Z";"2024-10-17T21:25:00.000Z";"2024-10-17T14:38:00.000Z";"2781";0.1257728945;0.1306493251;0.1207615683;0.1296583089;1557107116.6;18983516175.33;"2024-10-17T23:59:59.999Z"
"2024-10-16T00:00:00.000Z";"2024-10-16T23:59:59.999Z";"2024-10-16T20:50:00.000Z";"2024-10-16T01:15:00.000Z";"2781";0.1175247696;0.1294436242;0.1159310318;0.1257727063;2270276586.21;18412712352.16;"2024-10-16T23:59:59.999Z"
"2024-10-15T00:00:00.000Z";"2024-10-15T23:59:59.999Z";"2024-10-15T00:28:00.000Z";"2024-10-15T15:10:00.000Z";"2781";0.116653846;0.1187918186;0.110511788;0.1175268176;1367247373.39;17203592660.92;"2024-10-15T23:59:59.999Z"
